Source,Target
297802,141052
297802,49521
297802,297762
297802,209112
297802,1452
424783,198184
424783,605
424783,2048
424783,87101
424783,157336
504172,4836
504172,253
504172,769
504172,2034
504172,4982
400650,10140
400650,433
400650,671
400650,674
400650,34584
324857,99861
324857,141052
324857,246655
324857,1452
324857,1924
335983,141052
335983,49521
335983,299537
335983,1452
335983,1924
405774,131631
405774,294254
405774,198663
405774,110415
405774,185
429197,508
429197,640
429197,769
429197,424
429197,316029
503314,330459
503314,1891
503314,1894
503314,1892
503314,11
369972,10734
369972,3558
369972,10545
369972,424
369972,769
424694,369557
424694,1584
424694,397538
424694,354912
424694,369192
338952,767
338952,672
338952,674
338952,675
338952,259316
299536,9738
299536,1452
299536,1924
299536,9531
299536,8536
428078,281957
428078,185
428078,198663
428078,101299
428078,131631
375588,20662
375588,1495
375588,10907
375588,11886
375588,8367
567604,11395
567604,11881
567604,8871
567604,10719
567604,5825
454293,8618
454293,1584
454293,52449
454293,400928
454293,8363
300681,264660
300681,164457
300681,10514
300681,18111
300681,1908
463272,9486
463272,37724
463272,954
463272,206647
463272,36669
346910,828
346910,10200
346910,20424
346910,601
346910,126889
424139,948
424139,429476
424139,11357
424139,4232
424139,11361
260513,1452
260513,1924
260513,9531
260513,8536
260513,209112
426426,112160
426426,13
426426,141
426426,424694
426426,398173
375262,449176
375262,26280
375262,184352
375262,370663
375262,376867
353081,341006
353081,562
353081,10585
353081,954
353081,691
363088,102899
363088,1924
363088,1452
363088,8536
363088,9531
446021,77
446021,13
446021,1368
446021,1369
446021,11778
484247,336843
484247,101299
484247,346364
484247,454983
484247,207932
284054,99861
284054,141052
284054,246655
284054,1452
284054,1924
399402,281957
399402,1573
399402,1927
399402,9350
399402,290512
500664,9739
500664,281
500664,2048
500664,97020
500664,218
332562,525
332562,254470
332562,458737
332562,424694
332562,429191
487558,451915
487558,769
487558,424
487558,334543
487558,443009
426563,370567
426563,297708
426563,10528
426563,58574
426563,379170
507562,34433
507562,39101
507562,39108
507562,39107
507562,81
470044,281957
470044,392044
470044,671
470044,674
470044,101299
345887,562
345887,281957
345887,74997
345887,11713
345887,4771
407436,278927
407436,34584
407436,10140
407436,449176
407436,281957
446894,287903
446894,411
446894,9325
446894,109445
446894,321612
383498,209112
383498,141052
383498,49521
383498,272
383498,155
429476,948
429476,371608
429476,36599
429476,39874
429476,4232
351286,88751
351286,329
351286,135397
351286,425
351286,105864
345940,578
345940,332567
345940,205775
345940,157350
345940,131631
466282,43923
466282,449176
466282,308369
466282,12689
466282,9880
398173,10781
398173,1696
398173,984
398173,5486
398173,12521
438799,369885
438799,374720
438799,228150
438799,324786
438799,1771
347375,604
347375,605
347375,345887
347375,24
347375,682
438808,261023
438808,429203
438808,504172
438808,90
438808,9600
439079,250546
439079,396422
439079,259693
439079,588
439079,9552
569547,296
569547,62
569547,78
569547,335984
569547,264660
458594,74997
458594,956
458594,156022
458594,238636
458594,473149
348350,330459
348350,11
348350,348
348350,126889
348350,54138
463821,2454
463821,2268
463821,44826
463821,12155
463821,10140
543094,504897
543094,479363
543094,543103
543094,508830
543094,305470
442062,2454
442062,411
442062,671
442062,9479
442062,406997
399360,281957
399360,290512
399360,309050
399360,44363
399360,75174
446101,4421
446101,342737
446101,10035
446101,336804
446101,366696
447332,110415
447332,405774
447332,381283
447332,19908
447332,84226
402900,949
402900,772
402900,442249
402900,339403
402900,401469
489999,300668
489999,338970
489999,284276
489999,43923
489999,340677
438590,2048
438590,157336
438590,198184
438590,264660
438590,152601
429203,75656
429203,339403
429203,359412
429203,968
429203,273481
445651,101299
445651,157350
445651,263115
445651,333339
445651,1452
333339,101299
333339,157350
333339,2048
333339,604
333339,605
447200,707
447200,395991
447200,2924
447200,11134
447200,5919
455207,8966
455207,9880
455207,222935
455207,50619
455207,454983
449992,38167
449992,11541
449992,34626
449992,449951
449992,345169
446807,65754
446807,281957
446807,392044
446807,336843
446807,9654
337167,281957
337167,392044
337167,341174
337167,867
337167,11027
543103,504897
543103,479363
543103,508830
543103,127585
451925,817
451925,13
451925,38
451925,398818
451925,449176
360920,17979
360920,9479
360920,11395
360920,11881
360920,8871
499362,432139
499362,200201
474354,336843
474354,7984
474354,1645
474354,390051
474354,13655
449443,339403
449443,562
449443,949
449443,1572
449443,9654
425505,90
425505,2503
425505,9737
425505,5548
425505,15092
336843,294254
336843,448095
336843,375366
336843,1927
336843,346364
427641,124905
427641,7191
427641,268896
427641,293167
427641,34584
300668,484247
300668,210577
300668,336843
300668,346364
300668,9738
493922,334541
493922,956
493922,10779
493922,399366
493922,14869
400535,1266
400535,4771
400535,562
400535,261023
400535,1701
454227,640
454227,769
454227,424
454227,316029
454227,399404
466411,8966
466411,222935
466411,198663
466411,131631
466411,445651
442249,357096
442249,345887
442249,2749
442249,984
442249,10781
532321,129
532321,34433
532321,257445
532321,44251
532321,28609
454992,954
454992,484247
454992,818
454992,27205
454992,36669
500475,4771
500475,8012
500475,398181
500475,38842
500475,17494
400155,49017
400155,7131
400155,277
400155,24021
400155,76492
338970,1995
338970,1996
338970,217
338970,269149
338970,297762
424121,238636
